condition,locus,support,correct,split_size
aBayes_L300,01_g0,0.455,True,2
aBayes_L300,01_g0,0.851,True,5
aBayes_L300,01_g0,0.999,True,4
aBayes_L300,01_g0,1.0,True,2
aBayes_L300,01_g0,0.774,True,2
aBayes_L300,01_g0,0.365,True,7
aBayes_L300,01_g0,1.0,True,8
aBayes_L300,01_g0,1.0,True,5
aBayes_L300,01_g0,0.843,True,3
aBayes_L300,01_g0,1.0,True,2
aBayes_L300,01_g0,1.0,True,2
aBayes_L300,01_g0,1.0,True,3
aBayes_L300,01_g0,0.333,False,2
aBayes_L300,01_g1,0.333,False,4
aBayes_L300,01_g1,0.436,True,2
aBayes_L300,01_g1,0.999,True,6
aBayes_L300,01_g1,0.333,False,3
aBayes_L300,01_g1,0.339,False,2
aBayes_L300,01_g1,0.865,False,7
aBayes_L300,01_g1,0.333,False,5
aBayes_L300,01_g1,0.333,False,4
aBayes_L300,01_g1,1.0,True,2
aBayes_L300,01_g1,1.0,True,2
aBayes_L300,01_g1,1.0,True,2
aBayes_L300,01_g1,0.999,True,3
aBayes_L300,01_g1,0.557,False,2
aBayes_L300,01_g2,0.351,False,2
aBayes_L300,01_g2,0.476,False,7
aBayes_L300,01_g2,0.828,True,8
aBayes_L300,01_g2,0.749,True,5
aBayes_L300,01_g2,0.333,False,4
aBayes_L300,01_g2,0.897,True,2
aBayes_L300,01_g2,0.819,False,2
aBayes_L300,01_g2,1.0,True,3
aBayes_L300,01_g2,0.981,True,2
aBayes_L300,01_g2,0.975,True,5
aBayes_L300,01_g2,0.999,True,3
aBayes_L300,01_g2,1.0,True,2
aBayes_L300,01_g2,1.0,True,2
aBayes_L300,01_g3,1.0,True,2
aBayes_L300,01_g3,1.0,True,2
aBayes_L300,01_g3,0.569,True,4
aBayes_L300,01_g3,0.365,False,5
aBayes_L300,01_g3,0.992,False,6
aBayes_L300,01_g3,0.47,False,7
aBayes_L300,01_g3,0.875,False,5
aBayes_L300,01_g3,0.937,False,2
aBayes_L300,01_g3,0.672,False,3
aBayes_L300,01_g3,1.0,True,2
aBayes_L300,01_g3,0.972,True,2
aBayes_L300,01_g3,1.0,True,3
aBayes_L300,01_g3,0.731,True,2
aBayes_L300,01_g4,0.46,False,4
aBayes_L300,01_g4,0.333,False,5
aBayes_L300,01_g4,0.893,True,6
aBayes_L300,01_g4,0.333,False,8
aBayes_L300,01_g4,0.435,False,6
aBayes_L300,01_g4,0.594,False,5
aBayes_L300,01_g4,0.346,False,3
aBayes_L300,01_g4,1.0,True,2
aBayes_L300,01_g4,0.971,True,2
aBayes_L300,01_g4,1.0,True,2
aBayes_L300,01_g4,1.0,True,2
aBayes_L300,01_g4,1.0,True,3
aBayes_L300,01_g4,0.397,False,2
aBayes_L300,01_g5,0.815,False,2
aBayes_L300,01_g5,0.333,False,6
aBayes_L300,01_g5,0.957,False,4
aBayes_L300,01_g5,0.733,False,2
aBayes_L300,01_g5,0.333,False,2
aBayes_L300,01_g5,1.0,True,2
aBayes_L300,01_g5,0.904,False,8
aBayes_L300,01_g5,0.334,False,7
aBayes_L300,01_g5,0.333,True,6
aBayes_L300,01_g5,0.657,False,5
aBayes_L300,01_g5,1.0,True,3
aBayes_L300,01_g5,1.0,True,2
aBayes_L300,01_g5,1.0,True,2
