condition,locus,support,correct,split_size
correct_L200,r1g0,0.636,False,2
correct_L200,r1g0,0.359,True,7
correct_L200,r1g0,0.951,True,3
correct_L200,r1g0,0.333,False,2
correct_L200,r1g0,0.333,False,4
correct_L200,r1g0,0.96,True,3
correct_L200,r1g0,0.393,True,2
correct_L200,r1g0,1.0,True,9
correct_L200,r1g0,0.553,False,10
correct_L200,r1g0,0.623,False,10
correct_L200,r1g0,0.824,False,9
correct_L200,r1g0,0.333,False,8
correct_L200,r1g0,0.854,False,5
correct_L200,r1g0,0.921,True,4
correct_L200,r1g0,1.0,True,3
correct_L200,r1g0,0.333,False,2
correct_L200,r1g0,0.363,False,3
correct_L200,r1g0,0.802,False,2
correct_L200,r1g0,0.778,True,2
correct_L200,r1g1,0.786,False,10
correct_L200,r1g1,0.735,True,7
correct_L200,r1g1,0.685,False,6
correct_L200,r1g1,0.879,False,3
correct_L200,r1g1,0.333,True,2
correct_L200,r1g1,0.99,True,3
correct_L200,r1g1,0.953,True,2
correct_L200,r1g1,0.688,False,3
correct_L200,r1g1,0.348,True,2
correct_L200,r1g1,0.333,False,11
correct_L200,r1g1,0.333,False,3
correct_L200,r1g1,0.823,False,2
correct_L200,r1g1,0.895,True,8
correct_L200,r1g1,0.36,False,7
correct_L200,r1g1,1.0,True,2
correct_L200,r1g1,0.333,False,5
correct_L200,r1g1,0.333,True,3
correct_L200,r1g1,0.539,False,2
correct_L200,r1g1,1.0,True,2
correct_L200,r1g2,0.388,False,2
correct_L200,r1g2,0.333,False,8
correct_L200,r1g2,0.931,True,6
correct_L200,r1g2,0.794,True,4
correct_L200,r1g2,0.662,True,3
correct_L200,r1g2,0.999,True,2
correct_L200,r1g2,0.613,True,2
correct_L200,r1g2,0.99,True,2
correct_L200,r1g2,0.333,False,10
correct_L200,r1g2,0.91,False,11
correct_L200,r1g2,0.954,False,7
correct_L200,r1g2,0.85,False,4
correct_L200,r1g2,1.0,True,2
correct_L200,r1g2,0.333,False,2
correct_L200,r1g2,0.333,False,3
correct_L200,r1g2,0.94,False,2
correct_L200,r1g2,0.333,False,4
correct_L200,r1g2,0.453,False,3
correct_L200,r1g2,1.0,True,2
correct_L200,r1g3,0.925,False,4
correct_L200,r1g3,0.77,False,7
correct_L200,r1g3,0.333,False,7
correct_L200,r1g3,0.592,False,3
correct_L200,r1g3,0.57,False,2
correct_L200,r1g3,0.895,False,4
correct_L200,r1g3,1.0,True,3
correct_L200,r1g3,0.906,True,2
correct_L200,r1g3,0.885,True,8
correct_L200,r1g3,0.408,True,7
correct_L200,r1g3,0.761,True,5
correct_L200,r1g3,0.745,False,4
correct_L200,r1g3,0.785,False,3
correct_L200,r1g3,1.0,True,2
correct_L200,r1g3,0.996,True,2
correct_L200,r1g3,0.639,False,3
correct_L200,r1g3,0.824,True,2
correct_L200,r1g3,0.961,True,3
correct_L200,r1g3,0.888,False,2
correct_L200,r1g4,0.333,False,2
correct_L200,r1g4,0.337,False,3
correct_L200,r1g4,0.333,False,10
correct_L200,r1g4,0.406,False,10
correct_L200,r1g4,0.992,True,7
correct_L200,r1g4,0.765,True,5
correct_L200,r1g4,1.0,True,4
correct_L200,r1g4,0.333,True,2
correct_L200,r1g4,0.338,True,2
correct_L200,r1g4,1.0,True,2
correct_L200,r1g4,0.333,True,3
correct_L200,r1g4,0.982,True,2
correct_L200,r1g4,1.0,True,2
correct_L200,r1g4,0.675,False,7
correct_L200,r1g4,0.333,False,6
correct_L200,r1g4,0.751,False,3
correct_L200,r1g4,0.59,False,2
correct_L200,r1g4,0.333,False,3
correct_L200,r1g4,0.418,False,2
correct_L200,r1g5,0.528,False,6
correct_L200,r1g5,0.333,False,7
correct_L200,r1g5,0.921,False,4
correct_L200,r1g5,0.333,False,3
correct_L200,r1g5,0.985,True,2
correct_L200,r1g5,0.333,False,11
correct_L200,r1g5,0.616,False,6
correct_L200,r1g5,0.892,True,5
correct_L200,r1g5,0.333,False,4
correct_L200,r1g5,0.333,False,3
correct_L200,r1g5,0.396,False,2
correct_L200,r1g5,0.333,False,5
correct_L200,r1g5,0.922,False,4
correct_L200,r1g5,0.381,False,2
correct_L200,r1g5,0.533,True,2
correct_L200,r1g5,0.986,False,5
correct_L200,r1g5,0.641,False,4
correct_L200,r1g5,0.333,False,3
correct_L200,r1g5,0.552,True,2
correct_L200,r1g6,0.507,False,5
correct_L200,r1g6,0.972,False,6
correct_L200,r1g6,0.97,False,8
correct_L200,r1g6,0.333,True,9
correct_L200,r1g6,0.574,False,7
correct_L200,r1g6,0.714,True,6
correct_L200,r1g6,0.333,True,5
correct_L200,r1g6,0.735,True,3
correct_L200,r1g6,0.786,True,2
correct_L200,r1g6,0.447,True,2
correct_L200,r1g6,0.944,True,6
correct_L200,r1g6,0.872,False,5
correct_L200,r1g6,0.996,True,2
correct_L200,r1g6,0.798,True,3
correct_L200,r1g6,0.82,True,2
correct_L200,r1g6,0.712,True,2
correct_L200,r1g6,0.333,False,4
correct_L200,r1g6,0.852,True,3
correct_L200,r1g6,1.0,True,2
correct_L200,r1g7,0.548,False,2
correct_L200,r1g7,0.6,False,3
correct_L200,r1g7,0.333,False,8
correct_L200,r1g7,0.421,False,6
correct_L200,r1g7,0.99,True,2
correct_L200,r1g7,0.336,False,4
correct_L200,r1g7,0.333,False,3
correct_L200,r1g7,1.0,True,2
correct_L200,r1g7,0.999,True,8
correct_L200,r1g7,0.948,True,4
correct_L200,r1g7,0.333,True,2
correct_L200,r1g7,1.0,True,2
correct_L200,r1g7,0.333,True,4
correct_L200,r1g7,0.509,False,3
correct_L200,r1g7,0.741,True,2
correct_L200,r1g7,1.0,True,5
correct_L200,r1g7,0.758,False,4
correct_L200,r1g7,0.723,False,3
correct_L200,r1g7,0.984,True,2
correct_L200,r1g8,0.787,True,2
