condition,support_bin,n_branches,n_correct,p_correct,ci_lo,ci_hi
correct_L200,"[0,0.5)",63,16,0.254,0.1628,0.3734
correct_L200,"[0.5,0.7)",26,6,0.2308,0.1103,0.4205
correct_L200,"[0.7,0.9)",42,22,0.5238,0.3772,0.6664
correct_L200,"[0.9,0.95)",11,5,0.4545,0.2127,0.7199
correct_L200,"[0.95,0.99)",15,10,0.6667,0.4171,0.8482
correct_L200,"[0.99,1)",33,33,1.0,0.8957,1.0
misspecified_L200,"[0,0.5)",9,3,0.3333,0.1206,0.6458
misspecified_L200,"[0.5,0.7)",25,1,0.04,0.0071,0.1954
misspecified_L200,"[0.7,0.9)",34,7,0.2059,0.1035,0.368
misspecified_L200,"[0.9,0.95)",21,2,0.0952,0.0265,0.2891
misspecified_L200,"[0.95,0.99)",37,10,0.2703,0.154,0.4298
misspecified_L200,"[0.99,1)",64,40,0.625,0.5025,0.7333
