condition,ils,replicate,sequence_length,analysis_model,unweighted_nrf,contracted_unweighted_nrf,weighted_nrf,hybrid_weighted_nrf,delta_weighted_minus_unweighted,delta_weighted_minus_contracted,delta_hybrid_minus_unweighted,delta_hybrid_minus_contracted
ils=low|rep=01|length=1600|model=gtr_g4,low,1,1600,gtr_g4,0.2222222222222222,0.05555555555555555,0.1111111111111111,0.1111111111111111,-0.1111111111111111,0.05555555555555555,-0.1111111111111111,0.05555555555555555
ils=low|rep=01|length=1600|model=gtr,low,1,1600,gtr,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.05555555555555555,-0.1111111111111111,0.0,-0.1111111111111111,0.0
ils=low|rep=01|length=1600|model=hky_g4,low,1,1600,hky_g4,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.05555555555555555,-0.1111111111111111,0.0,-0.1111111111111111,0.0
ils=low|rep=01|length=1600|model=hky,low,1,1600,hky,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,-0.05555555555555555,0.0,-0.05555555555555555,0.0
ils=low|rep=01|length=1600|model=jc,low,1,1600,jc,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,-0.05555555555555555,0.0,-0.05555555555555555,0.0
ils=low|rep=02|length=1600|model=gtr_g4,low,2,1600,gtr_g4,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,-0.05555555555555555,0.05555555555555555,0.0
ils=low|rep=02|length=1600|model=gtr,low,2,1600,gtr,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0
ils=low|rep=02|length=1600|model=hky_g4,low,2,1600,hky_g4,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,-0.05555555555555555,0.05555555555555555,0.0
ils=low|rep=02|length=1600|model=hky,low,2,1600,hky,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0
ils=low|rep=02|length=1600|model=jc,low,2,1600,jc,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.0,0.05555555555555555,0.0,0.05555555555555555
ils=high|rep=01|length=1600|model=gtr_g4,high,1,1600,gtr_g4,0.3888888888888889,0.3888888888888889,0.3333333333333333,0.3333333333333333,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558
ils=high|rep=01|length=1600|model=gtr,high,1,1600,gtr,0.3888888888888889,0.3888888888888889,0.3333333333333333,0.3333333333333333,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558
ils=high|rep=01|length=1600|model=hky_g4,high,1,1600,hky_g4,0.3888888888888889,0.3888888888888889,0.3333333333333333,0.3333333333333333,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558
ils=high|rep=01|length=1600|model=hky,high,1,1600,hky,0.3888888888888889,0.3888888888888889,0.3333333333333333,0.3333333333333333,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558,-0.05555555555555558
ils=high|rep=01|length=1600|model=jc,high,1,1600,jc,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.1111111111111111,0.0,-0.1111111111111111,0.0
ils=high|rep=02|length=1600|model=gtr_g4,high,2,1600,gtr_g4,0.5,0.3888888888888889,0.4444444444444444,0.2222222222222222,-0.05555555555555558,0.055555555555555525,-0.2777777777777778,-0.16666666666666669
ils=high|rep=02|length=1600|model=gtr,high,2,1600,gtr,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.2777777777777778,-0.055555555555555525,0.0,-0.055555555555555525,0.0
ils=high|rep=02|length=1600|model=hky_g4,high,2,1600,hky_g4,0.5,0.3888888888888889,0.4444444444444444,0.2222222222222222,-0.05555555555555558,0.055555555555555525,-0.2777777777777778,-0.16666666666666669
ils=high|rep=02|length=1600|model=hky,high,2,1600,hky,0.3888888888888889,0.2777777777777778,0.2777777777777778,0.2777777777777778,-0.1111111111111111,0.0,-0.1111111111111111,0.0
ils=high|rep=02|length=1600|model=jc,high,2,1600,jc,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.2777777777777778,-0.055555555555555525,0.0,-0.055555555555555525,0.0
