condition,ils,replicate,sequence_length,analysis_model,n_branches,n_supported_branches,n_missing_support,branch_error_rate,brier_score,expected_calibration_error,p_wrong_given_support_ge_0.95,p_wrong_given_support_ge_0.99,n_support_ge_0.95,n_support_ge_0.99
ils=high|length=1600|model=gtr,high,pooled,1600,gtr,9000,9000,0,0.19866666666666666,0.14697135166666667,0.14023677777777774,0.11475843812045003,0.09107780157030693,7555,7005
ils=high|length=1600|model=gtr_g4,high,pooled,1600,gtr_g4,9000,9000,0,0.14477777777777778,0.06616701388888889,0.006601222222222238,0.004609812314784327,0.0009092562284051646,6074,5499
ils=high|length=1600|model=hky,high,pooled,1600,hky,9000,9000,0,0.19866666666666666,0.1456154742222222,0.14011755555555552,0.1137114901494116,0.08857509627727857,7563,7011
ils=high|length=1600|model=hky_g4,high,pooled,1600,hky_g4,9000,9000,0,0.1448888888888889,0.06548580933333334,0.008193111111111073,0.004605263157894736,0.0007275372862859222,6080,5498
ils=high|length=1600|model=jc,high,pooled,1600,jc,9000,9000,0,0.19844444444444445,0.14767003055555555,0.14170833333333333,0.11747738298151304,0.09411598701848455,7627,7087
ils=low|length=1600|model=gtr,low,pooled,1600,gtr,9000,8999,1,0.19044444444444444,0.13609069574397156,0.1326070674519391,0.10703563503459078,0.08410041841004184,7661,7170
ils=low|length=1600|model=gtr_g4,low,pooled,1600,gtr_g4,9000,8999,1,0.14633333333333334,0.06487333025891766,0.012117235248360947,0.005967741935483871,0.0024407252440725243,6200,5736
ils=low|length=1600|model=hky,low,pooled,1600,hky,9000,8999,1,0.18977777777777777,0.13690617946438494,0.13212390265585056,0.1075296881117056,0.08470785574503774,7663,7154
ils=low|length=1600|model=hky_g4,low,pooled,1600,hky_g4,9000,8999,1,0.145,0.06536209667740861,0.010495610623402521,0.006120148172008375,0.0022683650322805793,6209,5731
ils=low|length=1600|model=jc,low,pooled,1600,jc,9000,8999,1,0.18833333333333332,0.13684863418157572,0.13189165462829203,0.1083571243187127,0.0888612493090105,7706,7236
