ils,replicate,population_size,n_loci,mean_true_gene_species_nrf,min_true_gene_species_nrf,max_true_gene_species_nrf
low,1,100000,50,0.09666666666666666,0.0,0.2777777777777778
low,2,100000,50,0.12222222222222222,0.0,0.3333333333333333
low,3,100000,50,0.1111111111111111,0.0,0.2222222222222222
low,4,100000,50,0.2622222222222222,0.1111111111111111,0.5
low,5,100000,50,0.16666666666666663,0.0,0.3333333333333333
low,6,100000,50,0.056666666666666664,0.0,0.2222222222222222
low,7,100000,50,0.10666666666666666,0.0,0.3333333333333333
low,8,100000,50,0.11222222222222221,0.0,0.2777777777777778
low,9,100000,50,0.14444444444444443,0.0,0.2777777777777778
low,10,100000,50,0.10222222222222221,0.0,0.2222222222222222
high,1,1000000,50,0.6344444444444445,0.2777777777777778,0.9444444444444444
high,2,1000000,50,0.6233333333333334,0.4444444444444444,0.8888888888888888
high,3,1000000,50,0.6511111111111112,0.3333333333333333,0.8888888888888888
high,4,1000000,50,0.6833333333333332,0.5,0.8333333333333334
high,5,1000000,50,0.6033333333333334,0.4444444444444444,0.8333333333333334
high,6,1000000,50,0.5755555555555556,0.3888888888888889,0.8888888888888888
high,7,1000000,50,0.6233333333333334,0.3333333333333333,0.8888888888888888
high,8,1000000,50,0.6677777777777777,0.2777777777777778,0.8888888888888888
high,9,1000000,50,0.6511111111111112,0.4444444444444444,0.8888888888888888
high,10,1000000,50,0.59,0.2777777777777778,0.8333333333333334
