condition,support_bin,n_branches,n_correct,mean_support,p_correct,ci_low,ci_high
ils=high|length=1600|model=gtr,"[0,0.5)",54,10,0.33698148148148155,0.18518518518518517,0.10382574505942957,0.3083620229137938
ils=high|length=1600|model=gtr,"[0.5,0.7)",3,1,0.673,0.3333333333333333,0.0614903152761605,0.7923450448735121
ils=high|length=1600|model=gtr,"[0.7,0.9)",10,3,0.8156000000000001,0.3,0.10778928748621183,0.6032267800204347
ils=high|length=1600|model=gtr,"[0.9,0.95)",8,2,0.92825,0.25,0.07147768885802763,0.5907301208974108
ils=high|length=1600|model=gtr,"[0.95,0.99)",27,17,0.9795185185185185,0.6296296296296297,0.442289046234463,0.7846771293206314
ils=high|length=1600|model=gtr,"[0.99,1]",150,127,0.99928,0.8466666666666667,0.7804188029480452,0.8956012072442565
ils=high|length=1600|model=gtr_g4,"[0,0.5)",70,15,0.34405714285714284,0.21428571428571427,0.13438585667978442,0.32391407181580606
ils=high|length=1600|model=gtr_g4,"[0.5,0.7)",9,4,0.5656666666666667,0.4444444444444444,0.188775429471914,0.7333526542559703
ils=high|length=1600|model=gtr_g4,"[0.7,0.9)",21,17,0.8257142857142857,0.8095238095238095,0.599990134607267,0.9233255938482269
ils=high|length=1600|model=gtr_g4,"[0.9,0.95)",11,10,0.9294545454545454,0.9090909090909091,0.6226353745137962,0.9837682477371741
ils=high|length=1600|model=gtr_g4,"[0.95,0.99)",25,21,0.97264,0.84,0.6534598601976183,0.9359665239142201
ils=high|length=1600|model=gtr_g4,"[0.99,1]",116,116,0.999,1.0,0.9679443532129076,0.9999999999999999
ils=high|length=1600|model=hky,"[0,0.5)",53,8,0.3340754716981132,0.1509433962264151,0.07852324257781651,0.2705450454365954
ils=high|length=1600|model=hky,"[0.5,0.7)",3,2,0.6073333333333334,0.6666666666666666,0.2076549551264879,0.9385096847238394
ils=high|length=1600|model=hky,"[0.7,0.9)",10,4,0.8337999999999999,0.4,0.16817758120350967,0.6873304525498135
ils=high|length=1600|model=hky,"[0.9,0.95)",10,2,0.9287000000000001,0.2,0.056680947980693314,0.5098431532792765
ils=high|length=1600|model=hky,"[0.95,0.99)",24,14,0.976875,0.5833333333333334,0.3883433764938864,0.7553265275346177
ils=high|length=1600|model=hky,"[0.99,1]",152,131,0.9990986842105263,0.8618421052631579,0.7980159638451529,0.907828945344691
ils=high|length=1600|model=hky_g4,"[0,0.5)",71,17,0.3462112676056338,0.23943661971830985,0.15520813325016364,0.3504144082240967
ils=high|length=1600|model=hky_g4,"[0.5,0.7)",8,4,0.600375,0.5,0.21521252682444186,0.7847874731755582
ils=high|length=1600|model=hky_g4,"[0.7,0.9)",21,16,0.8298095238095239,0.7619047619047619,0.5490841802765406,0.8937214361088773
ils=high|length=1600|model=hky_g4,"[0.9,0.95)",12,12,0.9275000000000001,1.0,0.7574992425007574,1
ils=high|length=1600|model=hky_g4,"[0.95,0.99)",24,20,0.9751666666666666,0.8333333333333334,0.6414652961213058,0.9332143199927109
ils=high|length=1600|model=hky_g4,"[0.99,1]",116,116,0.9990862068965518,1.0,0.9679443532129076,0.9999999999999999
ils=high|length=1600|model=jc,"[0,0.5)",53,11,0.3330377358490566,0.20754716981132076,0.12004475729322063,0.3345800245566921
ils=high|length=1600|model=jc,"[0.5,0.7)",2,1,0.6125,0.5,0.09452865480086614,0.9054713451991339
ils=high|length=1600|model=jc,"[0.7,0.9)",12,4,0.78375,0.3333333333333333,0.13811783989736134,0.609382412602386
ils=high|length=1600|model=jc,"[0.9,0.95)",5,2,0.9254,0.4,0.1176182311592533,0.769280067791163
ils=high|length=1600|model=jc,"[0.95,0.99)",26,17,0.9741538461538461,0.6538461538461539,0.46220229009632996,0.8058798502714787
ils=high|length=1600|model=jc,"[0.99,1]",154,132,0.9989415584415584,0.8571428571428571,0.7931716849037994,0.9037295122457479
ils=low|length=1600|model=gtr,"[0,0.5)",61,13,0.3352131147540984,0.21311475409836064,0.1289965277061263,0.3312265389671205
ils=low|length=1600|model=gtr,"[0.5,0.7)",4,0,0.633,0.0,0,0.48990002040399916
ils=low|length=1600|model=gtr,"[0.7,0.9)",5,1,0.8193999999999999,0.2,0.03622316096978745,0.6244717358814613
ils=low|length=1600|model=gtr,"[0.9,0.95)",6,4,0.9276666666666666,0.6666666666666666,0.29998832134152864,0.9032306674407831
ils=low|length=1600|model=gtr,"[0.95,0.99)",18,12,0.9795,0.6666666666666666,0.4374906934425036,0.8372144563633714
ils=low|length=1600|model=gtr,"[0.99,1]",158,143,0.9990632911392405,0.9050632911392406,0.849274805220189,0.9416219728640614
ils=low|length=1600|model=gtr_g4,"[0,0.5)",79,18,0.3469240506329114,0.22784810126582278,0.14926656041627734,0.33167055330436546
ils=low|length=1600|model=gtr_g4,"[0.5,0.7)",9,6,0.5743333333333334,0.6666666666666666,0.35419734749908977,0.879418401317257
ils=low|length=1600|model=gtr_g4,"[0.7,0.9)",12,10,0.8241666666666667,0.8333333333333334,0.5519636426153274,0.9530358523851776
ils=low|length=1600|model=gtr_g4,"[0.9,0.95)",7,6,0.932,0.8571428571428571,0.48686549668097007,0.9743210440510253
ils=low|length=1600|model=gtr_g4,"[0.95,0.99)",21,20,0.9752380952380952,0.9523809523809523,0.7733018341376452,0.9915442305280766
ils=low|length=1600|model=gtr_g4,"[0.99,1]",124,124,0.998991935483871,1.0,0.9699503135129722,0.9999999999999999
ils=low|length=1600|model=hky,"[0,0.5)",61,15,0.3353770491803279,0.2459016393442623,0.15506522999562844,0.36684662905781873
ils=low|length=1600|model=hky,"[0.5,0.7)",5,0,0.64,0.0,0,0.43449149475208104
ils=low|length=1600|model=hky,"[0.7,0.9)",4,1,0.80125,0.25,0.045586062644636216,0.6993639475573634
ils=low|length=1600|model=hky,"[0.9,0.95)",5,4,0.9238,0.8,0.3755282641185388,0.9637768390302125
ils=low|length=1600|model=hky,"[0.95,0.99)",21,15,0.9797142857142856,0.7142857142857143,0.500432261771624,0.8618632425437179
ils=low|length=1600|model=hky,"[0.99,1]",156,140,0.999173076923077,0.8974358974358975,0.8398900249906909,0.935877985339536
ils=low|length=1600|model=hky_g4,"[0,0.5)",79,23,0.34702531645569623,0.2911392405063291,0.20251853322056734,0.39913087963480964
ils=low|length=1600|model=hky_g4,"[0.5,0.7)",9,6,0.5724444444444444,0.6666666666666666,0.35419734749908977,0.879418401317257
ils=low|length=1600|model=hky_g4,"[0.7,0.9)",10,8,0.8078,0.8,0.49015684672072335,0.9433190520193067
ils=low|length=1600|model=hky_g4,"[0.9,0.95)",7,6,0.9241428571428572,0.8571428571428571,0.48686549668097007,0.9743210440510253
ils=low|length=1600|model=hky_g4,"[0.95,0.99)",26,25,0.9748846153846153,0.9615384615384616,0.811068230080416,0.9931781910230102
