condition,ils,replicate,sequence_length,analysis_model,n_branches,n_supported_branches,n_missing_support,branch_error_rate,brier_score,expected_calibration_error,p_wrong_given_support_ge_0.95,p_wrong_given_support_ge_0.99,n_support_ge_0.95,n_support_ge_0.99
ils=high|rep=01|length=1600|model=gtr,high,1,1600,gtr,126,126,0,0.38095238095238093,0.11087392857142858,0.09711904761904765,0.056338028169014086,0.037037037037037035,71,54
ils=high|rep=01|length=1600|model=gtr_g4,high,1,1600,gtr_g4,126,126,0,0.38095238095238093,0.10845850793650794,0.08695238095238096,0.05,0.0,60,44
ils=high|rep=01|length=1600|model=hky,high,1,1600,hky,126,126,0,0.3968253968253968,0.10564111111111112,0.11207936507936508,0.056338028169014086,0.03636363636363636,71,55
ils=high|rep=01|length=1600|model=hky_g4,high,1,1600,hky_g4,126,126,0,0.38095238095238093,0.10806342063492064,0.09730952380952383,0.05084745762711865,0.0,59,43
ils=high|rep=01|length=1600|model=jc,high,1,1600,jc,126,126,0,0.373015873015873,0.11254205555555556,0.08786507936507935,0.05555555555555555,0.05084745762711865,72,59
ils=high|rep=02|length=1600|model=gtr,high,2,1600,gtr,126,126,0,0.3492063492063492,0.31149198412698414,0.3176507936507937,0.27358490566037735,0.21875,106,96
ils=high|rep=02|length=1600|model=gtr_g4,high,2,1600,gtr_g4,126,126,0,0.16666666666666666,0.07730089682539683,0.0274047619047619,0.012345679012345678,0.0,81,72
ils=high|rep=02|length=1600|model=hky,high,2,1600,hky,126,126,0,0.3253968253968254,0.2961987698412698,0.2991666666666667,0.2571428571428571,0.1958762886597938,105,97
ils=high|rep=02|length=1600|model=hky_g4,high,2,1600,hky_g4,126,126,0,0.15079365079365079,0.07798964285714287,0.017293650793650837,0.012345679012345678,0.0,81,73
ils=high|rep=02|length=1600|model=jc,high,2,1600,jc,126,126,0,0.30158730158730157,0.26847712698412696,0.2698571428571428,0.25,0.2,108,95
ils=low|rep=01|length=1600|model=gtr,low,1,1600,gtr,126,126,0,0.38095238095238093,0.09529515079365079,0.06526190476190478,0.015625,0.018518518518518517,64,54
ils=low|rep=01|length=1600|model=gtr_g4,low,1,1600,gtr_g4,126,126,0,0.4126984126984127,0.08532246031746032,0.09796825396825398,0.01639344262295082,0.0,61,45
ils=low|rep=01|length=1600|model=hky,low,1,1600,hky,126,126,0,0.36507936507936506,0.10057129365079366,0.04967460317460319,0.015625,0.019230769230769232,64,52
ils=low|rep=01|length=1600|model=hky_g4,low,1,1600,hky_g4,126,126,0,0.373015873015873,0.09838110317460318,0.057468253968253974,0.01639344262295082,0.0,61,44
ils=low|rep=01|length=1600|model=jc,low,1,1600,jc,126,126,0,0.36507936507936506,0.1004703253968254,0.049547619047619056,0.015384615384615385,0.019230769230769232,65,52
ils=low|rep=02|length=1600|model=gtr,low,2,1600,gtr,126,126,0,0.24603174603174602,0.20644015079365077,0.21900793650793654,0.17857142857142858,0.1346153846153846,112,104
ils=low|rep=02|length=1600|model=gtr_g4,low,2,1600,gtr_g4,126,126,0,0.12698412698412698,0.07467699206349206,0.029039682539682518,0.0,0.0,84,79
ils=low|rep=02|length=1600|model=hky,low,2,1600,hky,126,126,0,0.24603174603174602,0.2052816507936508,0.21736507936507932,0.18584070796460178,0.14423076923076922,113,104
ils=low|rep=02|length=1600|model=hky_g4,low,2,1600,hky_g4,126,126,0,0.12698412698412698,0.07501263492063492,0.030365079365079397,0.0,0.0,86,77
ils=low|rep=02|length=1600|model=jc,low,2,1600,jc,126,126,0,0.20634920634920634,0.18496779365079366,0.18217460317460316,0.16964285714285715,0.14150943396226415,112,106
