condition,replicate,locus,ils,sequence_length,analysis_model,support,correct,split_size
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,,False,3
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,,False,4
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,,False,5
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,,False,6
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,,False,7
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,0.333,False,8
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,0.333,False,3
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,0.333,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,0.333,True,10
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,0.986,True,7
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,0.333,False,5
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,0.333,False,4
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,0.333,False,3
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,0.99,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,0.998,True,2
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,0.911,True,3
ils=low|rep=01|length=200|model=gtr_g4,1,1,low,200,gtr_g4,0.975,True,2
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,,False,3
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,,False,4
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,,False,5
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,,False,6
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,0.333,False,7
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,0.333,False,10
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,0.333,False,7
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,0.973,True,6
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,0.333,False,5
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,0.333,False,4
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,,False,3
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,0.333,False,4
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,0.569,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,0.985,True,2
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,0.333,False,3
ils=low|rep=01|length=200|model=gtr_g4,1,2,low,200,gtr_g4,0.333,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,,False,3
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,,False,4
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,,False,5
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,,False,6
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,,False,7
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,,False,8
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,,False,9
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,0.333,False,5
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,0.333,False,4
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,0.333,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,0.333,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,0.333,False,7
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,1.0,True,6
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,0.333,False,5
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,0.333,True,4
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,,False,3
ils=low|rep=01|length=200|model=gtr_g4,1,3,low,200,gtr_g4,,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,,False,3
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,,False,4
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,,False,5
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,,False,6
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,,False,7
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,,False,8
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,,False,9
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,,False,10
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,0.333,False,6
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,0.333,False,4
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,1.0,False,3
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,0.333,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,0.333,False,5
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,0.333,False,4
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,0.333,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,4,low,200,gtr_g4,0.333,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,5,low,200,gtr_g4,0.333,False,7
ils=low|rep=01|length=200|model=gtr_g4,1,5,low,200,gtr_g4,0.333,False,8
ils=low|rep=01|length=200|model=gtr_g4,1,5,low,200,gtr_g4,,False,9
ils=low|rep=01|length=200|model=gtr_g4,1,5,low,200,gtr_g4,,False,10
ils=low|rep=01|length=200|model=gtr_g4,1,5,low,200,gtr_g4,,False,10
ils=low|rep=01|length=200|model=gtr_g4,1,5,low,200,gtr_g4,,False,9
ils=low|rep=01|length=200|model=gtr_g4,1,5,low,200,gtr_g4,,False,8
ils=low|rep=01|length=200|model=gtr_g4,1,5,low,200,gtr_g4,,False,7
ils=low|rep=01|length=200|model=gtr_g4,1,5,low,200,gtr_g4,,False,6
ils=low|rep=01|length=200|model=gtr_g4,1,5,low,200,gtr_g4,,False,5
ils=low|rep=01|length=200|model=gtr_g4,1,5,low,200,gtr_g4,,False,4
ils=low|rep=01|length=200|model=gtr_g4,1,5,low,200,gtr_g4,,False,3
ils=low|rep=01|length=200|model=gtr_g4,1,5,low,200,gtr_g4,,False,2
ils=low|rep=01|length=200|model=gtr_g4,1,5,low,200,gtr_g4,0.975,True,6
