condition,support_bin,n_branches,n_correct,mean_support,p_correct,ci_low,ci_high
ils=high|length=200|model=gtr,"[0,0.5)",66,9,0.3501666666666667,0.13636363636363635,0.07343237343346894,0.23929814820406514
ils=high|length=200|model=gtr,"[0.5,0.7)",17,5,0.628235294117647,0.29411764705882354,0.13279793865556402,0.5313353332621391
ils=high|length=200|model=gtr,"[0.7,0.9)",28,5,0.8204642857142856,0.17857142857142858,0.0787838582943011,0.355917915485911
ils=high|length=200|model=gtr,"[0.9,0.95)",16,8,0.9304375,0.5,0.2799923761135083,0.7200076238864916
ils=high|length=200|model=gtr,"[0.95,0.99)",30,14,0.9721333333333333,0.4666666666666667,0.30232127224128236,0.6385798671847496
ils=high|length=200|model=gtr,"[0.99,1]",48,38,0.99775,0.7916666666666666,0.6574082647864651,0.8826985220411018
ils=high|length=200|model=gtr_g4,"[0,0.5)",99,19,0.35065656565656567,0.1919191919191919,0.12644940825747547,0.2804054053588043
ils=high|length=200|model=gtr_g4,"[0.5,0.7)",17,6,0.6012352941176471,0.35294117647058826,0.17309486143904904,0.5870003327878818
ils=high|length=200|model=gtr_g4,"[0.7,0.9)",21,11,0.8023809523809524,0.5238095238095238,0.32369217900266756,0.7165628770323705
ils=high|length=200|model=gtr_g4,"[0.9,0.95)",10,6,0.924,0.6,0.3126695474501864,0.8318224187964902
ils=high|length=200|model=gtr_g4,"[0.95,0.99)",23,22,0.9772608695652174,0.9565217391304348,0.7900841350594088,0.9922835330378734
ils=high|length=200|model=gtr_g4,"[0.99,1]",35,31,0.9977142857142858,0.8857142857142857,0.7404820521187976,0.9546489414551025
ils=high|length=200|model=hky,"[0,0.5)",64,9,0.34904687500000003,0.140625,0.07578487006414436,0.24616508394637426
ils=high|length=200|model=hky,"[0.5,0.7)",14,5,0.6005714285714285,0.35714285714285715,0.16344490737202735,0.6123599531785959
ils=high|length=200|model=hky,"[0.7,0.9)",35,9,0.81,0.2571428571428571,0.1416286872655014,0.4206962427064873
ils=high|length=200|model=hky,"[0.9,0.95)",16,4,0.9238125,0.25,0.10181901984237346,0.49498768929398645
ils=high|length=200|model=hky,"[0.95,0.99)",21,11,0.9731904761904763,0.5238095238095238,0.32369217900266756,0.7165628770323705
ils=high|length=200|model=hky,"[0.99,1]",55,46,0.9978363636363636,0.8363636363636363,0.717360036126882,0.9114467944147754
ils=high|length=200|model=hky_g4,"[0,0.5)",100,18,0.35486000000000006,0.18,0.11700131654251038,0.26667536024213084
ils=high|length=200|model=hky_g4,"[0.5,0.7)",16,7,0.5980625,0.4375,0.2309836333518552,0.6682180439322347
ils=high|length=200|model=hky_g4,"[0.7,0.9)",18,9,0.7893888888888889,0.5,0.2903070395897999,0.7096929604102
ils=high|length=200|model=hky_g4,"[0.9,0.95)",8,6,0.921,0.75,0.40926987910258916,0.9285223111419724
ils=high|length=200|model=hky_g4,"[0.95,0.99)",24,21,0.9759583333333333,0.875,0.6899571185214243,0.9565574496068442
ils=high|length=200|model=hky_g4,"[0.99,1]",39,35,0.9977435897435897,0.8974358974358975,0.7642084129775517,0.9593873444171301
ils=high|length=200|model=jc,"[0,0.5)",60,5,0.34171666666666667,0.08333333333333333,0.03611992405048589,0.18069168468112481
ils=high|length=200|model=jc,"[0.5,0.7)",25,9,0.61292,0.36,0.20247656431735636,0.5548184539895337
ils=high|length=200|model=jc,"[0.7,0.9)",26,8,0.833346153846154,0.3076923076923077,0.16501120939792674,0.49988611514231246
ils=high|length=200|model=jc,"[0.9,0.95)",21,5,0.9257619047619047,0.23809523809523808,0.10627856389112261,0.45091581972345923
ils=high|length=200|model=jc,"[0.95,0.99)",16,6,0.9740624999999999,0.375,0.18480982554752806,0.613593529020652
ils=high|length=200|model=jc,"[0.99,1]",57,46,0.9977543859649123,0.8070175438596491,0.6865906266298637,0.8886736662223952
ils=high|length=800|model=gtr,"[0,0.5)",72,6,0.333,0.08333333333333333,0.03875189713049035,0.17012555271233995
ils=high|length=800|model=gtr,"[0.5,0.7)",12,5,0.6169166666666667,0.4166666666666667,0.19325746190524656,0.6804926643446272
ils=high|length=800|model=gtr,"[0.7,0.9)",13,4,0.8033076923076923,0.3076923076923077,0.12680497161618087,0.5763111218666236
ils=high|length=800|model=gtr,"[0.9,0.95)",6,5,0.9321666666666667,0.8333333333333334,0.43649056343635395,0.9699474141282697
ils=high|length=800|model=gtr,"[0.95,0.99)",28,21,0.9751071428571428,0.75,0.566439747592954,0.8732366505779922
ils=high|length=800|model=gtr,"[0.99,1]",119,101,0.9985714285714286,0.8487394957983193,0.7735390579844186,0.9021278170807059
ils=high|length=800|model=gtr_g4,"[0,0.5)",92,14,0.3398369565217391,0.15217391304347827,0.092864555668254,0.23936695966537982
ils=high|length=800|model=gtr_g4,"[0.5,0.7)",11,6,0.5885454545454546,0.5454545454545454,0.28008775568998817,0.7872904245601196
ils=high|length=800|model=gtr_g4,"[0.7,0.9)",27,20,0.7926296296296296,0.7407407407407407,0.553210695973843,0.8682979157713322
ils=high|length=800|model=gtr_g4,"[0.9,0.95)",14,13,0.9201428571428572,0.9285714285714286,0.6853073044604219,0.9872781138877085
ils=high|length=800|model=gtr_g4,"[0.95,0.99)",28,26,0.9739642857142857,0.9285714285714286,0.7735426157408214,0.9801883525522292
ils=high|length=800|model=gtr_g4,"[0.99,1]",78,77,0.9988205128205129,0.9871794871794872,0.9308897697115066,0.9977333266111463
ils=high|length=800|model=hky,"[0,0.5)",73,13,0.33373972602739727,0.1780821917808219,0.10713272068797698,0.2812194219014537
ils=high|length=800|model=hky,"[0.5,0.7)",12,4,0.607,0.3333333333333333,0.13811783989736134,0.609382412602386
ils=high|length=800|model=hky,"[0.7,0.9)",10,4,0.8156000000000001,0.4,0.16817758120350967,0.6873304525498135
ils=high|length=800|model=hky,"[0.9,0.95)",10,6,0.9259999999999999,0.6,0.3126695474501864,0.8318224187964902
ils=high|length=800|model=hky,"[0.95,0.99)",24,20,0.976625,0.8333333333333334,0.6414652961213058,0.9332143199927109
ils=high|length=800|model=hky,"[0.99,1]",121,101,0.9984462809917355,0.8347107438016529,0.7584442250683895,0.8903779624075799
ils=high|length=800|model=hky_g4,"[0,0.5)",93,17,0.3405376344086022,0.1827956989247312,0.1173779926949177,0.27337969821477404
ils=high|length=800|model=hky_g4,"[0.5,0.7)",12,5,0.6108333333333333,0.4166666666666667,0.19325746190524656,0.6804926643446272
ils=high|length=800|model=hky_g4,"[0.7,0.9)",24,18,0.795875,0.75,0.5510017468789357,0.8800079652065766
ils=high|length=800|model=hky_g4,"[0.9,0.95)",15,15,0.9218,1.0,0.7961107336956521,1
