condition,ils,replicate,sequence_length,analysis_model,n_branches,n_supported_branches,n_missing_support,branch_error_rate,brier_score,expected_calibration_error,p_wrong_given_support_ge_0.95,p_wrong_given_support_ge_0.99,n_support_ge_0.95,n_support_ge_0.99
ils=high|rep=01|length=200|model=gtr,high,1,200,gtr,126,79,47,0.7857142857142857,0.14387959493670888,0.19873417721518988,0.13043478260869565,0.16666666666666666,23,18
ils=high|rep=01|length=200|model=gtr_g4,high,1,200,gtr_g4,126,79,47,0.7857142857142857,0.14423236708860762,0.20307594936708856,0.13043478260869565,0.3,23,10
ils=high|rep=01|length=200|model=hky,high,1,200,hky,126,79,47,0.7936507936507936,0.13839888607594938,0.20926582278481012,0.125,0.15,24,20
ils=high|rep=01|length=200|model=hky_g4,high,1,200,hky_g4,126,79,47,0.7777777777777778,0.14693372151898737,0.18777215189873414,0.13043478260869565,0.25,23,12
ils=high|rep=01|length=200|model=jc,high,1,200,jc,126,79,47,0.7936507936507936,0.1369572278481013,0.20710126582278487,0.125,0.13043478260869565,24,23
ils=high|rep=01|length=800|model=gtr,high,1,800,gtr,126,124,2,0.5714285714285714,0.10641411290322582,0.17098387096774192,0.041666666666666664,0.05555555555555555,48,36
ils=high|rep=01|length=800|model=gtr_g4,high,1,800,gtr_g4,126,124,2,0.5714285714285714,0.10753091129032259,0.1628629032258065,0.05,0.045454545454545456,40,22
ils=high|rep=01|length=800|model=hky,high,1,800,hky,126,124,2,0.5158730158730159,0.12105824193548388,0.11104838709677418,0.0425531914893617,0.05555555555555555,47,36
ils=high|rep=01|length=800|model=hky_g4,high,1,800,hky_g4,126,124,2,0.5476190476190477,0.11348330645161292,0.146741935483871,0.04878048780487805,0.043478260869565216,41,23
ils=high|rep=01|length=800|model=jc,high,1,800,jc,126,124,2,0.5476190476190477,0.11343354032258066,0.14307258064516135,0.0425531914893617,0.05263157894736842,47,38
ils=high|rep=02|length=200|model=gtr,high,2,200,gtr,126,126,0,0.5873015873015873,0.4149536587301587,0.43100793650793645,0.41818181818181815,0.23333333333333334,55,30
ils=high|rep=02|length=200|model=gtr_g4,high,2,200,gtr_g4,126,126,0,0.4603174603174603,0.2013596984126984,0.14522222222222225,0.05714285714285714,0.04,35,25
ils=high|rep=02|length=200|model=hky,high,2,200,hky,126,126,0,0.5396825396825397,0.3891223015873016,0.3875079365079365,0.3076923076923077,0.17142857142857143,52,35
ils=high|rep=02|length=200|model=hky_g4,high,2,200,hky_g4,126,126,0,0.4603174603174603,0.19305840476190475,0.14932539682539683,0.1,0.037037037037037035,40,27
ils=high|rep=02|length=200|model=jc,high,2,200,jc,126,126,0,0.5793650793650794,0.41504442857142854,0.4293174603174603,0.3673469387755102,0.23529411764705882,49,34
ils=high|rep=02|length=800|model=gtr,high,2,800,gtr,126,126,0,0.30158730158730157,0.25396673015873017,0.2463650793650793,0.23232323232323232,0.1927710843373494,99,83
ils=high|rep=02|length=800|model=gtr_g4,high,2,800,gtr_g4,126,126,0,0.19047619047619047,0.10550107936507937,0.025666666666666657,0.015151515151515152,0.0,66,56
ils=high|rep=02|length=800|model=hky,high,2,800,hky,126,126,0,0.30952380952380953,0.2560431904761905,0.2558095238095239,0.22448979591836735,0.21176470588235294,98,85
ils=high|rep=02|length=800|model=hky_g4,high,2,800,hky_g4,126,126,0,0.20634920634920634,0.114459126984127,0.04900000000000004,0.03076923076923077,0.017543859649122806,65,57
ils=high|rep=02|length=800|model=jc,high,2,800,jc,126,126,0,0.35714285714285715,0.2931320158730159,0.3034126984126984,0.24489795918367346,0.21176470588235294,98,85
ils=low|rep=01|length=200|model=gtr,low,1,200,gtr,126,59,67,0.8809523809523809,0.1278384745762712,0.24966101694915255,0.14285714285714285,0.18181818181818182,14,11
ils=low|rep=01|length=200|model=gtr_g4,low,1,200,gtr_g4,126,59,67,0.8809523809523809,0.1313693559322034,0.2554915254237288,0.14285714285714285,0.25,14,8
ils=low|rep=01|length=200|model=hky,low,1,200,hky,126,59,67,0.8809523809523809,0.12803884745762714,0.24901694915254236,0.13333333333333333,0.15384615384615385,15,13
ils=low|rep=01|length=200|model=hky_g4,low,1,200,hky_g4,126,59,67,0.8809523809523809,0.127937,0.24733898305084745,0.14285714285714285,0.1111111111111111,14,9
ils=low|rep=01|length=200|model=jc,low,1,200,jc,126,59,67,0.8650793650793651,0.1398694745762712,0.2159491525423729,0.13333333333333333,0.15384615384615385,15,13
ils=low|rep=01|length=800|model=gtr,low,1,800,gtr,126,121,5,0.5714285714285714,0.13331257851239672,0.1383305785123967,0.04878048780487805,0.0,41,35
ils=low|rep=01|length=800|model=gtr_g4,low,1,800,gtr_g4,126,121,5,0.5952380952380952,0.1388287520661157,0.1629504132231405,0.05128205128205128,0.03571428571428571,39,28
ils=low|rep=01|length=800|model=hky,low,1,800,hky,126,121,5,0.6111111111111112,0.11721660330578514,0.1746694214876033,0.047619047619047616,0.0,42,38
ils=low|rep=01|length=800|model=hky_g4,low,1,800,hky_g4,126,121,5,0.5714285714285714,0.12865229752066115,0.133206611570248,0.025,0.0,40,30
ils=low|rep=01|length=800|model=jc,low,1,800,jc,126,121,5,0.6190476190476191,0.13477296694214877,0.17101652892561986,0.07317073170731707,0.02702702702702703,41,37
ils=low|rep=02|length=200|model=gtr,low,2,200,gtr,126,126,0,0.5396825396825397,0.3648791984126984,0.40710317460317463,0.3384615384615385,0.2708333333333333,65,48
ils=low|rep=02|length=200|model=gtr_g4,low,2,200,gtr_g4,126,126,0,0.3968253968253968,0.19203979365079366,0.11485714285714288,0.10638297872340426,0.05128205128205128,47,39
ils=low|rep=02|length=200|model=hky,low,2,200,hky,126,126,0,0.5079365079365079,0.35140485714285713,0.37947619047619047,0.328125,0.30952380952380953,64,42
ils=low|rep=02|length=200|model=hky_g4,low,2,200,hky_g4,126,126,0,0.35714285714285715,0.1829907857142857,0.10697619047619047,0.06666666666666667,0.02857142857142857,45,35
ils=low|rep=02|length=200|model=jc,low,2,200,jc,126,126,0,0.5396825396825397,0.38170530952380954,0.4183730158730159,0.3188405797101449,0.22727272727272727,69,44
ils=low|rep=02|length=800|model=gtr,low,2,800,gtr,126,126,0,0.25396825396825395,0.20827815873015873,0.20882539682539683,0.14285714285714285,0.11956521739130435,98,92
ils=low|rep=02|length=800|model=gtr_g4,low,2,800,gtr_g4,126,126,0,0.1746031746031746,0.08592377777777778,0.015158730158730194,0.0,0.0,74,68
ils=low|rep=02|length=800|model=hky,low,2,800,hky,126,126,0,0.2698412698412698,0.21549238888888889,0.2257222222222223,0.1717171717171717,0.13043478260869565,99,92
ils=low|rep=02|length=800|model=hky_g4,low,2,800,hky_g4,126,126,0,0.1746031746031746,0.0857378253968254,0.018158730158730197,0.0,0.0,73,67
ils=low|rep=02|length=800|model=jc,low,2,800,jc,126,126,0,0.2619047619047619,0.21374699206349204,0.21724603174603188,0.18269230769230768,0.10989010989010989,104,91
