condition,ils,replicate,sequence_length,analysis_model,n_branches,n_supported_branches,n_missing_support,branch_error_rate,brier_score,expected_calibration_error,p_wrong_given_support_ge_0.95,p_wrong_given_support_ge_0.99,n_support_ge_0.95,n_support_ge_0.99
ils=high|length=200|model=gtr,high,pooled,200,gtr,252,205,47,0.6865079365079365,0.31049097073170734,0.34003414634146345,0.3333333333333333,0.20833333333333334,78,48
ils=high|length=200|model=gtr_g4,high,pooled,200,gtr_g4,252,205,47,0.623015873015873,0.1793447756097561,0.16303902439024395,0.08620689655172414,0.11428571428571428,58,35
ils=high|length=200|model=hky,high,pooled,200,hky,252,205,47,0.6666666666666666,0.29250205853658534,0.31802926829268297,0.25,0.16363636363636364,76,55
ils=high|length=200|model=hky_g4,high,pooled,200,hky_g4,252,205,47,0.6190476190476191,0.17528352682926832,0.16081463414634148,0.1111111111111111,0.10256410256410256,63,39
ils=high|length=200|model=jc,high,pooled,200,jc,252,205,47,0.6865079365079365,0.3078791170731707,0.3433707317073171,0.2876712328767123,0.19298245614035087,73,57
ils=high|length=800|model=gtr,high,pooled,800,gtr,252,250,2,0.4365079365079365,0.180780632,0.20619200000000001,0.17006802721088435,0.15126050420168066,147,119
ils=high|length=800|model=gtr_g4,high,pooled,800,gtr_g4,252,250,2,0.38095238095238093,0.10650787600000002,0.08574799999999999,0.02830188679245283,0.01282051282051282,106,78
ils=high|length=800|model=hky,high,pooled,800,hky,252,250,2,0.4126984126984127,0.189090656,0.18125599999999997,0.16551724137931034,0.1652892561983471,145,121
ils=high|length=800|model=hky_g4,high,pooled,800,hky_g4,252,250,2,0.376984126984127,0.11397512,0.08992000000000003,0.03773584905660377,0.025,106,80
ils=high|length=800|model=jc,high,pooled,800,jc,252,250,2,0.4523809523809524,0.20400157200000002,0.221644,0.1793103448275862,0.16260162601626016,145,123
ils=low|length=200|model=gtr,low,pooled,200,gtr,252,185,67,0.7103174603174603,0.289282427027027,0.35564864864864865,0.3037974683544304,0.2542372881355932,79,59
ils=low|length=200|model=gtr_g4,low,pooled,200,gtr_g4,252,185,67,0.6388888888888888,0.17269084324324324,0.15837837837837837,0.11475409836065574,0.0851063829787234,61,47
ils=low|length=200|model=hky,low,pooled,200,hky,252,185,67,0.6944444444444444,0.2801692108108108,0.33714594594594594,0.2911392405063291,0.2727272727272727,79,55
ils=low|length=200|model=hky_g4,low,pooled,200,hky_g4,252,185,67,0.6190476190476191,0.1654330918918919,0.1275567567567567,0.0847457627118644,0.045454545454545456,59,44
ils=low|length=200|model=jc,low,pooled,200,jc,252,185,67,0.7023809523809523,0.3045792864864865,0.3531891891891891,0.2857142857142857,0.21052631578947367,84,57
ils=low|length=800|model=gtr,low,pooled,800,gtr,252,247,5,0.4126984126984127,0.17155412955465588,0.17353846153846156,0.11510791366906475,0.08661417322834646,139,127
ils=low|length=800|model=gtr_g4,low,pooled,800,gtr_g4,252,247,5,0.38492063492063494,0.11184078947368421,0.07993117408906884,0.017699115044247787,0.010416666666666666,113,96
ils=low|length=800|model=hky,low,pooled,800,hky,252,247,5,0.44047619047619047,0.1673491902834008,0.19682591093117408,0.1347517730496454,0.09230769230769231,141,130
ils=low|length=800|model=hky_g4,low,pooled,800,hky_g4,252,247,5,0.373015873015873,0.10676070445344131,0.07359514170040488,0.008849557522123894,0.0,113,97
ils=low|length=800|model=jc,low,pooled,800,jc,252,247,5,0.44047619047619047,0.1750593117408907,0.1945991902834008,0.15172413793103448,0.0859375,145,128
