condition,ils,replicate,sequence_length,analysis_model,unweighted_nrf,contracted_unweighted_nrf,weighted_nrf,hybrid_weighted_nrf,delta_weighted_minus_unweighted,delta_weighted_minus_contracted,delta_hybrid_minus_unweighted,delta_hybrid_minus_contracted
ils=low|rep=01|length=200|model=gtr_g4,low,1,200,gtr_g4,0.7222222222222222,0.5,0.5,0.5,-0.2222222222222222,0.0,-0.2222222222222222,0.0
ils=low|rep=01|length=200|model=gtr,low,1,200,gtr,0.6111111111111112,0.5,0.5,0.5,-0.11111111111111116,0.0,-0.11111111111111116,0.0
ils=low|rep=01|length=200|model=hky_g4,low,1,200,hky_g4,0.6111111111111112,0.4444444444444444,0.4444444444444444,0.4444444444444444,-0.16666666666666674,0.0,-0.16666666666666674,0.0
ils=low|rep=01|length=200|model=hky,low,1,200,hky,0.6666666666666666,0.5,0.5555555555555556,0.5555555555555556,-0.11111111111111105,0.05555555555555558,-0.11111111111111105,0.05555555555555558
ils=low|rep=01|length=200|model=jc,low,1,200,jc,0.5555555555555556,0.5,0.5555555555555556,0.5555555555555556,0.0,0.05555555555555558,0.0,0.05555555555555558
ils=low|rep=01|length=800|model=gtr_g4,low,1,800,gtr_g4,0.2777777777777778,0.1111111111111111,0.0,0.0,-0.2777777777777778,-0.1111111111111111,-0.2777777777777778,-0.1111111111111111
ils=low|rep=01|length=800|model=gtr,low,1,800,gtr,0.2777777777777778,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.11111111111111113,0.0,-0.11111111111111113,0.0
ils=low|rep=01|length=800|model=hky_g4,low,1,800,hky_g4,0.2222222222222222,0.05555555555555555,0.1111111111111111,0.1111111111111111,-0.1111111111111111,0.05555555555555555,-0.1111111111111111,0.05555555555555555
ils=low|rep=01|length=800|model=hky,low,1,800,hky,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.1111111111111111,-0.2222222222222222,-0.05555555555555555,-0.2222222222222222,-0.05555555555555555
ils=low|rep=01|length=800|model=jc,low,1,800,jc,0.4444444444444444,0.16666666666666666,0.05555555555555555,0.05555555555555555,-0.38888888888888884,-0.1111111111111111,-0.38888888888888884,-0.1111111111111111
ils=low|rep=02|length=200|model=gtr_g4,low,2,200,gtr_g4,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0
ils=low|rep=02|length=200|model=gtr,low,2,200,gtr,0.3888888888888889,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.05555555555555558,0.0,-0.05555555555555558,0.0
ils=low|rep=02|length=200|model=hky_g4,low,2,200,hky_g4,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.2777777777777778,0.16666666666666666,0.1111111111111111,0.11111111111111113,0.05555555555555558
ils=low|rep=02|length=200|model=hky,low,2,200,hky,0.3888888888888889,0.2777777777777778,0.3888888888888889,0.3333333333333333,0.0,0.1111111111111111,-0.05555555555555558,0.055555555555555525
ils=low|rep=02|length=200|model=jc,low,2,200,jc,0.4444444444444444,0.3888888888888889,0.4444444444444444,0.4444444444444444,0.0,0.055555555555555525,0.0,0.055555555555555525
ils=low|rep=02|length=800|model=gtr_g4,low,2,800,gtr_g4,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.0,-0.05555555555555555,0.0,-0.05555555555555555
ils=low|rep=02|length=800|model=gtr,low,2,800,gtr,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0,0.05555555555555555,0.0,0.05555555555555555
ils=low|rep=02|length=800|model=hky_g4,low,2,800,hky_g4,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.0,-0.05555555555555555,0.0,-0.05555555555555555
ils=low|rep=02|length=800|model=hky,low,2,800,hky,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0,0.05555555555555555,0.0,0.05555555555555555
ils=low|rep=02|length=800|model=jc,low,2,800,jc,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
ils=high|rep=01|length=200|model=gtr_g4,high,1,200,gtr_g4,0.6666666666666666,0.6111111111111112,0.5555555555555556,0.5555555555555556,-0.11111111111111105,-0.05555555555555558,-0.11111111111111105,-0.05555555555555558
ils=high|rep=01|length=200|model=gtr,high,1,200,gtr,0.7222222222222222,0.6111111111111112,0.5555555555555556,0.5555555555555556,-0.16666666666666663,-0.05555555555555558,-0.16666666666666663,-0.05555555555555558
ils=high|rep=01|length=200|model=hky_g4,high,1,200,hky_g4,0.6666666666666666,0.6111111111111112,0.5555555555555556,0.5555555555555556,-0.11111111111111105,-0.05555555555555558,-0.11111111111111105,-0.05555555555555558
ils=high|rep=01|length=200|model=hky,high,1,200,hky,0.7222222222222222,0.6111111111111112,0.5555555555555556,0.5555555555555556,-0.16666666666666663,-0.05555555555555558,-0.16666666666666663,-0.05555555555555558
